param,status,mass
0.33603529,Disperse,0.0
0.336035291,Disperse,0.0
0.336035292,Disperse,0.0
0.33603529299999996,Disperse,0.0
0.336035294,Disperse,0.0
0.33603529499999996,Disperse,0.0
0.336035296,Disperse,0.0
0.33603529601,Disperse,0.0
0.33603529602000004,Disperse,0.0
0.33603529602999993,Disperse,0.0
0.33603529604,Disperse,0.0
0.33603529605,Disperse,0.0
0.33603529605099997,Disperse,0.0
0.336035296052,Disperse,0.0
0.336035296053,Disperse,0.0
0.33603529605399995,Disperse,0.0
0.3360352960541,Disperse,0.0
0.33603529605419996,Disperse,0.0
0.33603529605429994,Disperse,0.0
0.33603529605430993,Disperse,0.0
0.33603529605432,Disperse,0.0
0.3360352960543299,Disperse,0.0
0.3360352960543309,Disperse,0.0
0.33603529605433197,Disperse,0.0
0.3360352960543329,Disperse,0.0
0.3360352960543339,Disperse,0.0
0.3360352960543349,Disperse,0.0
0.3360352960543359,Disperse,0.0
0.3360352960543369,Disperse,0.0
0.3360352960543379,Disperse,0.0
0.3360352960543389,Disperse,0.0
0.336035296054339,Disperse,0.0
0.3360352960543391,Disperse,0.0
0.3360352960543392,Disperse,0.0
0.33603529605433935,Collapse,1.986821492513021e-6
0.3360352960543394,Collapse,2.384185791015625e-6
0.33603529605433946,Collapse,2.7815500895182294e-6
0.3360352960543396,Collapse,3.1789143880208335e-6
0.33603529605433974,Collapse,4.371007283528646e-6
0.3360352960543398,Collapse,3.973642985026042e-6
0.3360352960543399,Collapse,5.1657358805338544e-6
0.33603529605434995,Collapse,0.000017484029134114586
0.33603529605436,Collapse,0.000022252400716145836
0.33603529605436994,Collapse,0.000025431315104166668
0.33603529605437993,Collapse,0.000028212865193684898
0.33603529605439,Collapse,0.000030994415283203125
0.33603529605439997,Collapse,0.000025033950805664062
0.3360352960545,Collapse,0.0000476837158203125
0.3360352960546,Collapse,0.000059604644775390625
0.33603529605469995,Collapse,0.00006834665934244792
0.3360352960548,Collapse,0.00007470448811848959
0.33603529605489996,Collapse,0.00008026758829752605
0.336035296055,Collapse,0.0000850359598795573
0.336035296056,Collapse,0.00011642773946126303
0.336035296057,Collapse,0.00013748804728190106
0.336035296058,Collapse,0.00015497207641601562
0.336035296059,Collapse,0.0001700719197591146
0.33603529606,Collapse,0.00018397967020670575
0.33603529607,Collapse,0.00028014183044433594
0.33603529608,Collapse,0.00032941500345865887
0.33603529609,Collapse,0.0003782908121744792
0.3360352961,Collapse,0.00041604042053222656
0.3360352962,Collapse,0.0006226698557535808
0.33603529629999995,Collapse,0.0007478396097819011
0.33603529639999996,Collapse,0.0008487701416015625
0.33603529649999997,Collapse,0.0009365876515706381
0.3360352966,Collapse,0.0010156631469726562
0.3360352967,Collapse,0.0010879834493001304
0.3360352968,Collapse,0.0011547406514485679
0.33603529690000006,Collapse,0.001216729482014974
0.336035297,Collapse,0.0012747446695963542
0.336035298,Collapse,0.0017134348551432292
0.33603529899999995,Collapse,0.002011458079020182
0.3360353,Collapse,0.0022395451863606772
